,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
0,18.50217,0.5083006,13.376099,15.455355,18.37043,4.9943314,126.2561,80.38794,133.88332,81.44929,1.2947952,0.8084598,0.5110761,0.8937416,1.9630728,1.4519967,33.749226,25.844347,22.996582,15.721032,0.88635516,1.1188711,5.158191,1.9760888,10.907533,0.6452274,3.7798142,2.3096046,-1.1777759,-9.213077,0.11002073,0.47039497,2.4419608,0.44339955,-5.3921537,-0.47726145,3.495566,13.468338,2.7723043,12.304198,528.4298,0.43479887,1171.1356,0.12239069,-180.93279,-0.2976922,1595.5458,0.17891863,886.75226,0.2099588,-181.2356,-0.2837735,2558.4082,0.09921124,747.18066,0.44248092,-181.23952,-0.28362277,-14.630644,-0.33955362,22.348942,0.2968292,-0.034933306,-1.294762,-0.016239708,-0.60266805,0.7777968,1.1402363,15.071992,0.29870734,12.721497,0.48925433,10.966163,0.66667676,0.16118619,72.92502,-5.8243966,13.067274,-0.018149963,-0.01083461,0.90388066,4.1436467,1.9498608,0.045714285,0.027441958,0.4457143,0.63501084,-24.13782,cabbage
1,22.630365,0.45379913,13.426325,20.66239,30.590038,17.163713,200.9932,143.34746,174.74301,257.62677,1.159752,0.72666025,0.5555302,0.85555947,1.7377639,1.1822337,18.022654,8.54848,7.391467,4.07158,0.7772049,1.213064,11.795623,0.4003209,3.5411203,1.5597098,4.875602,1.2226337,-6.954897,-1.408192,0.050225,1.5840578,2.7609894,0.58839834,-4.2569447,-0.70289755,1.8031192,3.8898568,12.201354,0.44680682,550.60547,0.5298546,1156.7263,0.1915903,-181.17868,-0.29827598,1596.14,0.23422019,821.2703,0.3332093,-179.49695,-0.30357653,2613.9385,0.13504627,655.8393,0.302071,-179.67041,-0.30111226,-8.29701,-0.3300308,14.282592,0.32799372,0.010429818,3.592654,-0.017841617,-0.52999336,1.0551175,0.9539961,14.238962,0.2923463,3.180462,1.3235734,5.837299,0.83097655,-11.4309,-0.81979144,-6.9707384,13.448488,-0.0010031789,-0.01385671,0.7438606,2.6132405,2.2887325,0.038461536,0.026266724,0.37692305,0.28647417,-26.197529,cabbage
2,14.536487,0.109773986,12.920017,14.361631,16.272495,3.352478,95.314705,83.98884,183.57915,188.87971,0.8160172,0.5773463,0.47402713,0.66161567,1.0886487,0.6146215,10.845701,5.444385,8.474187,4.307211,0.49155998,0.8194098,11.437605,0.58753926,4.683284,1.5543896,8.726448,0.8318436,0.5803505,14.359039,0.13161942,0.47563538,1.5868324,0.5023017,-5.680291,-0.5032007,2.5459309,17.666569,-5.8488894,-6.2158422,499.9647,0.31870714,1248.8472,0.14415628,-164.1219,-0.41430008,1457.3069,0.14112024,1033.1177,0.24187477,-165.54356,-0.3946595,2474.3918,0.076719575,812.6072,0.29133135,-166.07832,-0.3876157,-12.217539,-0.41250828,20.149202,0.34702286,-0.047521878,-0.54990375,-0.010449093,-0.8173613,0.45970824,0.7213329,14.614633,0.24447182,6.6340685,0.7561806,10.736471,0.38392475,2.4987972,2.850679,-7.518986,15.335578,-0.034720182,-0.008434488,0.50691587,3.7593985,2.7989824,0.06090909,0.054681648,0.27454546,0.1960688,-32.010006,cabbage
3,24.626286,0.4022397,15.500189,21.609266,31.383207,15.8830185,243.76884,154.53763,416.47864,305.6377,1.3661628,0.8762716,0.5072551,0.80867624,2.2787213,1.7714663,33.61451,21.954588,23.621319,17.819273,1.1358459,1.3959285,12.501145,0.45407116,4.8428473,1.4649577,4.296686,1.5052533,-5.5876813,-1.7212303,0.14567976,0.88048345,1.7256085,0.72590595,-3.6424794,-0.76038975,9.592017,2.9991179,13.23564,0.57098675,585.8046,0.5063249,1237.4441,0.14871867,-178.21747,-0.32400495,1618.9382,0.21070202,907.94037,0.24682386,-177.44168,-0.3183624,2611.2632,0.12079463,736.8843,0.23306468,-177.50345,-0.31737003,-11.04071,-0.32429993,18.480392,0.23192936,0.031732187,1.6154493,-0.019631099,-0.39688197,2.0223846,1.2726755,14.575738,0.29699627,6.401838,0.9578908,5.6252623,0.8443326,-8.933167,-1.232413,-7.893506,15.426471,0.002644857,-0.014166537,1.0237596,3.4843206,2.292769,0.045384616,0.02649104,0.34357142,0.25342247,-22.767181,cabbage
4,16.540009,0.218199,12.567002,15.661453,19.524881,6.957879,125.78136,81.819244,166.55183,45.723118,1.0168234,0.7705313,0.50698584,0.6876176,1.2788464,0.77186054,17.79696,8.522228,12.707364,7.5783,0.66633046,1.2395469,12.560233,0.39420274,4.70373,1.452297,6.239796,0.7865594,-2.9789712,-3.347633,0.15288626,0.957749,2.6109421,0.50306475,-5.6743217,-0.34992573,-1.7987527,-17.495934,2.7171152,8.835886,650.5301,0.45638713,1163.2439,0.14693564,-185.72212,-0.26093197,1658.685,0.22101812,863.3035,0.20721528,-186.38577,-0.24852385,2680.62,0.11743435,746.40546,0.26099968,-186.51376,-0.2464937,-8.436932,-0.45244583,16.05291,0.27691624,0.0034694762,11.473298,-0.012814186,-0.5598272,0.6221423,0.8653787,13.109397,0.3184935,5.221746,1.3612236,5.751679,0.82554066,-5.838317,-1.8384845,-7.732327,15.07833,-0.008926863,-0.010764159,0.67510486,3.3407574,1.3513514,0.046666663,0.022110831,0.5757143,0.5267109,-28.106886,cabbage
5,16.926304,0.24168253,13.063091,15.707274,19.953917,6.8908253,313.14432,356.99097,164.98166,142.91766,1.2793595,0.9373987,0.48913234,0.7549494,1.8427358,1.3536034,30.0875,24.304342,15.207585,12.039578,1.093713,1.4575909,14.885087,0.33214453,5.461841,1.1131663,6.648166,0.8570069,-7.08414,-1.3452483,0.18660843,1.2559961,3.3689609,0.5255719,-5.300496,-0.39627263,8.005093,5.030096,4.2432723,4.55504,541.8902,0.44186005,1263.2164,0.12834007,-169.70525,-0.38977695,1562.7545,0.19310309,948.76245,0.25340742,-170.8949,-0.36752778,2569.2036,0.104584634,738.46765,0.27399015,-171.10959,-0.3644151,-11.974589,-0.30434066,19.468937,0.23417698,0.010588974,4.312037,-0.020126307,-0.39882177,1.030778,1.3457229,18.470795,0.24549225,6.099785,0.9875013,7.677595,0.7296336,-7.7655787,-1.3420026,-9.17188,16.296484,0.008646869,-0.016412258,1.1108633,2.6026027,2.8169014,0.04607143,0.031320833,0.28821427,0.20269707,-22.666927,cabbage
6,19.265411,0.3638576,13.164683,16.459406,30.53154,17.366856,232.12038,77.89126,139.81898,57.216507,0.9396424,0.7650897,0.46590525,0.64633214,1.2302705,0.76436526,21.098904,22.075483,10.134459,4.4785094,0.60089153,1.239576,11.59932,0.56661713,5.3963246,1.2985351,5.1745563,1.2918301,-1.9088297,-4.8724775,0.040723935,0.18274246,2.2563584,0.6532732,-5.497328,-0.6363214,10.349103,2.2967987,15.844169,0.41768926,575.31433,0.34315115,1224.1644,0.12712935,-181.69629,-0.29163307,1596.0415,0.17793816,958.4357,0.22775605,-182.18886,-0.27981234,2598.2908,0.096126966,760.57605,0.259842,-182.32776,-0.27822098,-10.302143,-0.33694726,18.875221,0.20804437,2.542789e-05,1577.4255,-0.017295232,-0.5373013,0.5969579,0.8978469,15.558534,0.26146835,8.516876,0.49632815,4.2185698,1.0667323,-3.616454,-3.0424032,-6.9306464,14.286619,-0.0128491735,-0.009725134,0.6086354,3.066038,1.9093078,0.0425,0.03526684,0.40888888,0.23225677,-28.840075,cabbage
7,24.151869,0.53148144,15.41441,19.430603,31.427368,16.012959,451.2797,291.9674,135.62743,74.02621,1.2070822,0.860705,0.5118589,0.7352605,1.7200323,1.2081735,45.258194,31.599049,27.535486,22.409727,1.0354235,1.5218726,10.912019,0.7092403,3.7590933,2.2055562,1.0271842,9.045364,-3.5382507,-3.0519843,0.10689056,1.1452605,1.5336169,0.48866305,-3.554063,-0.9557822,5.7299337,3.3466659,9.3664255,1.0977118,595.0662,0.5066637,1220.1133,0.18507166,-153.68465,-0.48733783,1617.3184,0.20399678,906.8455,0.19832508,-152.93594,-0.47394726,2617.8425,0.12140431,748.3816,0.3725548,-153.3388,-0.46907526,-10.514476,-0.34160227,18.187124,0.22911133,0.016437357,2.443096,-0.023225078,-0.3847398,1.5371802,1.3696085,14.0921755,0.41649672,4.608666,1.8245388,-0.48147124,-20.24071,-10.182124,-1.1231879,-5.9350505,14.636649,-0.0058245864,-0.007028095,0.87302744,3.9249148,4.4750433,0.048076924,0.034864493,0.1604,0.24453191,-22.86262,cabbage
8,19.421911,0.25156185,14.245972,19.393799,23.629187,9.383215,304.4252,238.24211,189.02037,259.46783,0.9622678,0.82209617,0.4844273,0.63364583,1.2042507,0.71982336,15.377882,6.978368,5.7534027,3.1201518,0.7448477,1.7019148,15.907259,0.21096301,4.033484,1.6978638,7.3632207,0.7364668,-4.7723017,-2.3980024,0.1209175,1.230965,2.2642295,0.67627406,-4.7822943,-0.6056634,-3.4008956,-7.6181984,6.63307,3.0161626,518.89355,0.44106662,1259.2606,0.12198853,-156.92172,-0.4693553,1527.8832,0.16483662,973.3708,0.28221354,-158.57066,-0.44327426,2526.4304,0.10072466,784.19147,0.27253926,-158.88675,-0.43913904,-10.328775,-0.28643402,17.771156,0.21758227,0.013026328,3.2389596,-0.019286847,-0.4610972,1.2356955,1.8612268,16.694601,0.21064082,4.5948505,1.4257964,7.379087,0.66163456,-5.395427,-2.1032333,-9.12061,15.90527,0.004130798,-0.016667303,0.61740136,2.189781,4.187192,0.04352941,0.026776018,0.196,0.20313543,-25.551449,cabbage
9,19.000294,0.25844613,14.091653,19.393929,22.145588,8.053935,211.98239,155.28377,304.1451,226.12091,0.830661,0.718854,0.44100016,0.56459606,1.1476201,0.7066199,13.295422,8.589115,8.409855,4.016345,0.5572523,1.3657888,16.974789,0.20686385,4.7315693,1.5145693,5.581939,0.7375972,-5.232659,-1.7823094,0.07645075,1.136952,1.8108395,0.42982498,-4.8804035,-0.53577715,1.9738089,9.093437,13.518463,0.6925184,547.2551,0.3805534,1280.6252,0.08940714,-164.81516,-0.4287094,1565.4386,0.16662416,1006.7829,0.2116783,-165.98654,-0.40636185,2568.5876,0.09444119,808.9683,0.19808215,-166.42117,-0.40056145,-12.053621,-0.22214511,20.080765,0.18295625,0.008144418,5.33484,-0.019118179,-0.39500397,0.80885524,1.66834,18.758018,0.16635564,6.7852464,0.8755146,5.8847914,0.62533605,-5.2546697,-1.7408644,-9.4007225,16.639605,0.0020955848,-0.015642425,0.5115003,2.672606,2.927928,0.053076923,0.038706906,0.26846153,0.1420101,-29.456043,cabbage
